Network_Type,MCC,MNC,LAC,Cell_ID,Longitude,Latitude,Timestamp1,Timestamp2,T1_Year,T2_Year,Signal
LTE,505,2,57506,23811339,153.34,-27.9,1737041511,1743008164,2025,2025,0
LTE,505,2,57502,24190769,153,-26.28,1738167431,1738187341,2025,2025,0
LTE,505,2,57502,24160778,152.99,-26.72,1737947258,1738017002,2025,2025,0
LTE,505,1,28698,146489386,152.51,-25.91,1737217416,1737217416,2025,2025,0
LTE,505,1,8223,134273045,151.38,-32.73,1737569364,1737589201,2025,2025,0
LTE,505,1,28746,146483201,151.19,-27.45,1736378848,1736378848,2025,2025,0
LTE,505,2,56250,21086770,148.25,-41.49,1737817834,1745126341,2025,2025,0
LTE,505,1,16402,143360061,147.46,-42.71,1735865712,1744535941,2025,2025,0
LTE,505,1,16395,143593536,147.22,-42.97,1737602537,1744785122,2025,2025,0
LTE,505,1,16395,136301059,147.21,-42.9,1743190479,1743210602,2025,2025,0
LTE,505,2,53370,21596466,146.95,-38.57,1736719976,1736739841,2025,2025,0
LTE,505,2,56250,22081330,146.88,-41.24,1735964148,1735984022,2025,2025,0
LTE,505,1,12418,143546379,146.08,-38.81,1735946786,1735966626,2025,2025,0
LTE,505,1,12410,143541772,144.1,-38.08,1737862847,1741136102,2025,2025,0
LTE,505,2,53251,21446194,141.81,-36.8,1737668048,1737687962,2025,2025,0
LTE,505,1,32805,149363970,139.59,-34.95,1740926235,1748813101,2025,2025,0
LTE,505,3,60637,15611169,114.92,-29.27,1736226463,1736516462,2025,2025,0
LTE,505,1,16395,143593536,147.2195899,-42.96997944,42:39.7,1744785122,2025,2025,0
LTE,505,1,28746,146483201,151.1897707,-27.45010362,38:22.7,1736378848,2025,2025,0
LTE,505,3,60637,15611169,114.9164829,-29.26591689,53:36.7,1736516462,2025,2025,0
LTE,505,2,57502,24160778,152.9926148,-26.72127191,34:25.7,1738017002,2025,2025,0
LTE,505,2,56250,21086770,148.2455296,-41.49343928,25:39.7,1745126341,2025,2025,0
LTE,505,2,53251,21446194,141.8147174,-36.79665342,19:28.7,1737687962,2025,2025,0
LTE,505,2,57502,24190769,153.0042541,-26.28078715,00:04.7,1738187341,2025,2025,0
LTE,505,1,8223,134273045,151.3837133,-32.72813691,28:44.7,1737589201,2025,2025,0
LTE,505,2,53251,21446194,141.8070226,-36.79575808,27:39.7,1737687962,2025,2025,0
LTE,505,1,16395,143593536,147.2224215,-42.9701754,45:56.7,1744785122,2025,2025,0
LTE,505,1,28746,146483201,151.193281,-27.44764725,16:28.7,1736378848,2025,2025,0
LTE,505,2,56250,22081330,146.8819284,-41.23637889,17:19.7,1735984022,2025,2025,0
LTE,505,1,16402,143360061,147.4596825,-42.71363762,16:20.7,1744535941,2025,2025,0
LTE,505,1,16395,136301059,147.2113804,-42.89603678,26:08.7,1743210602,2025,2025,0
LTE,505,2,53370,21596466,146.951147,-38.57269263,28:46.7,1736739841,2025,2025,0
LTE,505,2,56250,21086770,148.2527776,-41.49128091,59:55.7,1745126341,2025,2025,0
LTE,505,2,57502,24160778,152.9852206,-26.71901547,47:03.7,1738017002,2025,2025,0
LTE,505,1,16395,143593536,147.2209218,-42.96509746,04:49.7,1744785122,2025,2025,0
LTE,505,1,16395,136301059,147.2073633,-42.89892276,19:23.7,1743210602,2025,2025,0
LTE,505,1,8223,134273045,151.3758227,-32.7271099,57:13.7,1737589201,2025,2025,0
LTE,505,2,56250,21086770,148.2503274,-41.49057203,33:32.7,1745126341,2025,2025,0
LTE,505,1,32805,149363970,139.5929363,-34.94821487,01:29.7,1748813101,2025,2025,0
LTE,505,2,53370,21596466,146.9521496,-38.57407548,46:57.7,1736739841,2025,2025,0
LTE,505,2,57506,23811339,153.3414594,-27.90123629,40:20.7,1743008164,2025,2025,0
LTE,505,2,56250,21086770,148.2539484,-41.48540092,56:19.7,1745126341,2025,2025,0
LTE,505,1,28746,146483201,151.1939753,-27.44814297,36:47.7,1736378848,2025,2025,0
LTE,505,2,57502,24160778,152.9852393,-26.71951099,36:05.7,1738017002,2025,2025,0
LTE,505,2,57502,24160778,152.9910733,-26.71721647,51:22.7,1738017002,2025,2025,0
LTE,505,2,56250,22081330,146.882079,-41.23820729,53:36.7,1735984022,2025,2025,0
LTE,505,2,56250,21086770,148.2501672,-41.49389782,08:12.7,1745126341,2025,2025,0
LTE,505,1,12418,143546379,146.0847474,-38.81359275,07:54.7,1735966626,2025,2025,0
LTE,505,2,57502,24160778,152.9932209,-26.72201265,45:40.7,1738017002,2025,2025,0
